categoryId	displayName	displayPath	lineage	coverageTier	appCategory	includeForEmbedding	embeddingPriority	annotationStatus	notes
sunscreen-tube	防晒霜管	个人护理 / 个人洗护 / 护肤美妆 / 防晒霜管	Beauty/Personal Care/Hygiene / Cosmetics / Skin Care and Makeup / Sunscreen Tubes	mvp	daily	pending	p2	pending	
shaving-foam-can	剃须泡沫罐	个人护理 / 个人洗护 / 洗发沐浴 / 剃须泡沫罐	Beauty/Personal Care/Hygiene / Personal Hygiene / Hair and Body Care / Shaving Foam Cans	mvp	daily	pending	p2	pending	
hair-spray-can	发胶喷雾罐	个人护理 / 个人洗护 / 洗发沐浴 / 发胶喷雾罐	Beauty/Personal Care/Hygiene / Personal Hygiene / Hair and Body Care / Hair Spray Cans	mvp	daily	pending	p2	pending	
hair-mask-jar	发膜罐	个人护理 / 个人洗护 / 洗发沐浴 / 发膜罐	Beauty/Personal Care/Hygiene / Personal Hygiene / Hair and Body Care / Hair Mask Jars	mvp	daily	pending	p2	pending	
hair-oil-bottle	护发精油瓶	个人护理 / 个人洗护 / 洗发沐浴 / 护发精油瓶	Beauty/Personal Care/Hygiene / Personal Hygiene / Hair and Body Care / Hair Oil Bottles	mvp	daily	pending	p2	pending	
conditioner-bottle	护发素瓶	个人护理 / 个人洗护 / 洗发沐浴 / 护发素瓶	Beauty/Personal Care/Hygiene / Personal Hygiene / Hair and Body Care / Conditioner Bottles	mvp	daily	pending	p2	pending	
hand-cream-tube	护手霜管	个人护理 / 个人洗护 / 洗发沐浴 / 护手霜管	Beauty/Personal Care/Hygiene / Personal Hygiene / Hair and Body Care / Hand Cream Tubes	mvp	daily	pending	p2	pending	
hair-dye-box	染发剂盒	个人护理 / 个人洗护 / 洗发沐浴 / 染发剂盒	Beauty/Personal Care/Hygiene / Personal Hygiene / Hair and Body Care / Hair Dye Boxes	mvp	daily	pending	p2	pending	
deodorant-stick	止汗棒	个人护理 / 个人洗护 / 洗发沐浴 / 止汗棒	Beauty/Personal Care/Hygiene / Personal Hygiene / Hair and Body Care / Deodorant Sticks	mvp	daily	pending	p2	pending	
soap-dispenser-bottle	洗手液瓶	个人护理 / 个人洗护 / 洗发沐浴 / 洗手液瓶	Beauty/Personal Care/Hygiene / Personal Hygiene / Hair and Body Care / Soap Dispenser Bottles	mvp	daily	pending	p2	pending	
bath-salt-jar	浴盐罐	个人护理 / 个人洗护 / 洗发沐浴 / 浴盐罐	Beauty/Personal Care/Hygiene / Personal Hygiene / Hair and Body Care / Bath Salt Jars	mvp	daily	pending	p2	pending	
body-scrub-jar	磨砂膏罐	个人护理 / 个人洗护 / 洗发沐浴 / 磨砂膏罐	Beauty/Personal Care/Hygiene / Personal Hygiene / Hair and Body Care / Body Scrub Jars	mvp	daily	pending	p2	pending	
body-lotion-bottle	身体乳瓶	个人护理 / 个人洗护 / 洗发沐浴 / 身体乳瓶	Beauty/Personal Care/Hygiene / Personal Hygiene / Hair and Body Care / Body Lotion Bottles	mvp	daily	pending	p2	pending	
cotton-pad-pack	化妆棉包	个人护理 / 个人洗护 / 洗护卫生补充 / 化妆棉包	Beauty/Personal Care/Hygiene / Personal Hygiene / Personal Hygiene Additional Bricks / Cotton Pad Packs	mvp	daily	pending	p2	pending	
sanitary-pad-pack	卫生巾包	个人护理 / 个人洗护 / 洗护卫生补充 / 卫生巾包	Beauty/Personal Care/Hygiene / Personal Hygiene / Personal Hygiene Additional Bricks / Sanitary Pad Packs	mvp	daily	pending	p2	pending	
tampon-box	卫生棉条盒	个人护理 / 个人洗护 / 洗护卫生补充 / 卫生棉条盒	Beauty/Personal Care/Hygiene / Personal Hygiene / Personal Hygiene Additional Bricks / Tampon Boxes	mvp	daily	pending	p2	pending	
nail-polish-remover-bottle	卸甲水瓶	个人护理 / 个人洗护 / 洗护卫生补充 / 卸甲水瓶	Beauty/Personal Care/Hygiene / Personal Hygiene / Personal Hygiene Additional Bricks / Nail Polish Remover Bottles	mvp	daily	pending	p2	pending	
panty-liner-pack	护垫包	个人护理 / 个人洗护 / 洗护卫生补充 / 护垫包	Beauty/Personal Care/Hygiene / Personal Hygiene / Personal Hygiene Additional Bricks / Panty Liner Packs	mvp	daily	pending	p2	pending	
nail-polish-bottle	指甲油瓶	个人护理 / 个人洗护 / 洗护卫生补充 / 指甲油瓶	Beauty/Personal Care/Hygiene / Personal Hygiene / Personal Hygiene Additional Bricks / Nail Polish Bottles	mvp	daily	pending	p2	pending	
makeup-sponge	美妆蛋	个人护理 / 个人洗护 / 洗护卫生补充 / 美妆蛋	Beauty/Personal Care/Hygiene / Personal Hygiene / Personal Hygiene Additional Bricks / Makeup Sponges	mvp	daily	pending	p2	pending	
eye-mask-pack	蒸汽眼罩包	个人护理 / 个人洗护 / 洗护卫生补充 / 蒸汽眼罩包	Beauty/Personal Care/Hygiene / Personal Hygiene / Personal Hygiene Additional Bricks / Eye Mask Packs	mvp	daily	pending	p2	pending	
foot-mask-pack	足膜包	个人护理 / 个人洗护 / 洗护卫生补充 / 足膜包	Beauty/Personal Care/Hygiene / Personal Hygiene / Personal Hygiene Additional Bricks / Foot Mask Packs	mvp	daily	pending	p2	pending	
foot-cream-tube	足霜管	个人护理 / 个人洗护 / 洗护卫生补充 / 足霜管	Beauty/Personal Care/Hygiene / Personal Hygiene / Personal Hygiene Additional Bricks / Foot Cream Tubes	mvp	daily	pending	p2	pending	
shaver	剃须刀	个人护理 / 个人洗护 / 美妆护肤与修剪用品 / 剃须刀	Health & Beauty / Personal Care / Cosmetics & Grooming Products / Electric Shavers	mvp	daily	pending	p1	pending	
hair-brush	发刷	个人护理 / 个人洗护 / 美妆护肤与修剪用品 / 发刷	Health & Beauty / Personal Care / Cosmetics & Grooming Products / Hair Brushes	mvp	daily	pending	p1	pending	
lipstick	口红	个人护理 / 个人洗护 / 美妆护肤与修剪用品 / 口红	Health & Beauty / Personal Care / Cosmetics & Grooming Products / Lipstick	mvp	daily	pending	p1	pending	
nail-clipper	指甲剪	个人护理 / 个人洗护 / 美妆护肤与修剪用品 / 指甲剪	Health & Beauty / Personal Care / Cosmetics & Grooming Products / Nail Clippers	mvp	daily	pending	p1	pending	
cotton-swabs-box	棉签盒	个人护理 / 个人洗护 / 美妆护肤与修剪用品 / 棉签盒	Health & Beauty / Personal Care / Cosmetics & Grooming Products / Cotton Swab Boxes	mvp	daily	pending	p1	pending	
electric-toothbrush	电动牙刷	个人护理 / 个人洗护 / 美妆护肤与修剪用品 / 电动牙刷	Health & Beauty / Personal Care / Cosmetics & Grooming Products / Electric Toothbrushes	mvp	daily	pending	p1	pending	
makeup-palette	眼影盘	个人护理 / 个人洗护 / 美妆护肤与修剪用品 / 眼影盘	Health & Beauty / Personal Care / Cosmetics & Grooming Products / Makeup Palettes	mvp	daily	pending	p1	pending	
lotion-bottle	身体乳瓶	个人护理 / 个人洗护 / 美妆护肤与修剪用品 / 身体乳瓶	Health & Beauty / Personal Care / Cosmetics & Grooming Products / Lotion Bottles	mvp	daily	pending	p1	pending	
perfume-bottle	香水瓶	个人护理 / 个人洗护 / 美妆护肤与修剪用品 / 香水瓶	Health & Beauty / Personal Care / Cosmetics & Grooming Products / Perfume Bottles	mvp	daily	pending	p1	pending	
bathroom-scale	体重秤	卫浴用品 / 浴室用品 / 卫浴配件与小物 / 体重秤	Bathroom Supplies / Bathroom Accessories / Bathroom Fixtures & Small Accessories / Bathroom Scales	mvp	daily	pending	p1	pending	
razor-holder	剃须刀架	卫浴用品 / 浴室用品 / 卫浴配件与小物 / 剃须刀架	Bathroom Supplies / Bathroom Accessories / Bathroom Fixtures & Small Accessories / Razor Holders	mvp	daily	pending	p1	pending	
bathroom-shelf	浴室置物架	卫浴用品 / 浴室用品 / 卫浴配件与小物 / 浴室置物架	Bathroom Supplies / Bathroom Accessories / Bathroom Fixtures & Small Accessories / Bathroom Shelves	mvp	daily	pending	p1	pending	
shower-curtain	浴帘	卫浴用品 / 浴室用品 / 卫浴配件与小物 / 浴帘	Bathroom Supplies / Bathroom Accessories / Bathroom Fixtures & Small Accessories / Shower Curtains	mvp	daily	pending	p1	pending	
toothbrush-cup	牙刷杯	卫浴用品 / 浴室用品 / 卫浴配件与小物 / 牙刷杯	Bathroom Supplies / Bathroom Accessories / Bathroom Fixtures & Small Accessories / Toothbrush Cups	mvp	daily	pending	p1	pending	
soap-dish	肥皂盒	卫浴用品 / 浴室用品 / 卫浴配件与小物 / 肥皂盒	Bathroom Supplies / Bathroom Accessories / Bathroom Fixtures & Small Accessories / Soap Dishes	mvp	daily	pending	p1	pending	
shower-head	花洒	卫浴用品 / 浴室用品 / 卫浴配件与小物 / 花洒	Bathroom Supplies / Bathroom Accessories / Bathroom Fixtures & Small Accessories / Shower Heads	mvp	daily	pending	p1	pending	
toilet-seat-cover	马桶垫	卫浴用品 / 浴室用品 / 卫浴配件与小物 / 马桶垫	Bathroom Supplies / Bathroom Accessories / Bathroom Fixtures & Small Accessories / Toilet Seat Covers	mvp	daily	pending	p1	pending	
toilet-plunger	马桶疏通器	卫浴用品 / 浴室用品 / 卫浴配件与小物 / 马桶疏通器	Bathroom Supplies / Bathroom Accessories / Bathroom Fixtures & Small Accessories / Toilet Plungers	mvp	daily	pending	p1	pending	
bathroom-trash-bin	卫生间垃圾桶	卫浴用品 / 浴室用品 / 浴室配件 / 卫生间垃圾桶	Plumbing/Heating/Ventilation/Air Conditioning / Bathroom Fixtures / Bathroom Accessories / Bathroom Trash Bins	mvp	daily	pending	p2	pending	
floor-drain-cover	地漏盖	卫浴用品 / 浴室用品 / 浴室配件 / 地漏盖	Plumbing/Heating/Ventilation/Air Conditioning / Bathroom Fixtures / Bathroom Accessories / Floor Drain Covers	mvp	daily	pending	p2	pending	
towel-rack	毛巾架	卫浴用品 / 浴室用品 / 浴室配件 / 毛巾架	Plumbing/Heating/Ventilation/Air Conditioning / Bathroom Fixtures / Bathroom Accessories / Towel Racks	mvp	daily	pending	p2	pending	
faucet	水龙头	卫浴用品 / 浴室用品 / 浴室配件 / 水龙头	Plumbing/Heating/Ventilation/Air Conditioning / Bathroom Fixtures / Bathroom Accessories / Faucets	mvp	daily	pending	p2	pending	
wash-basin	洗手盆	卫浴用品 / 浴室用品 / 浴室配件 / 洗手盆	Plumbing/Heating/Ventilation/Air Conditioning / Bathroom Fixtures / Bathroom Accessories / Wash Basins	mvp	daily	pending	p2	pending	
bathroom-slippers	浴室拖鞋	卫浴用品 / 浴室用品 / 浴室配件 / 浴室拖鞋	Plumbing/Heating/Ventilation/Air Conditioning / Bathroom Fixtures / Bathroom Accessories / Bathroom Slippers	mvp	daily	pending	p2	pending	
shower-caddy	淋浴置物架	卫浴用品 / 浴室用品 / 浴室配件 / 淋浴置物架	Plumbing/Heating/Ventilation/Air Conditioning / Bathroom Fixtures / Bathroom Accessories / Shower Caddies	mvp	daily	pending	p2	pending	
toilet-paper-holder	纸巾架	卫浴用品 / 浴室用品 / 浴室配件 / 纸巾架	Plumbing/Heating/Ventilation/Air Conditioning / Bathroom Fixtures / Bathroom Accessories / Toilet Paper Holders	mvp	daily	pending	p2	pending	
shower-hose	花洒软管	卫浴用品 / 浴室用品 / 浴室配件 / 花洒软管	Plumbing/Heating/Ventilation/Air Conditioning / Bathroom Fixtures / Bathroom Accessories / Shower Hoses	mvp	daily	pending	p2	pending	
bathroom-mirror-cabinet	镜柜	卫浴用品 / 浴室用品 / 浴室配件 / 镜柜	Plumbing/Heating/Ventilation/Air Conditioning / Bathroom Fixtures / Bathroom Accessories / Bathroom Mirror Cabinets	mvp	daily	pending	p2	pending	
toilet-tank-cleaner	马桶水箱清洁块	卫浴用品 / 浴室用品 / 浴室配件 / 马桶水箱清洁块	Plumbing/Heating/Ventilation/Air Conditioning / Bathroom Fixtures / Bathroom Accessories / Toilet Tank Cleaner Blocks	mvp	daily	pending	p2	pending	
toilet-seat	马桶盖	卫浴用品 / 浴室用品 / 浴室配件 / 马桶盖	Plumbing/Heating/Ventilation/Air Conditioning / Bathroom Fixtures / Bathroom Accessories / Toilet Seats	mvp	daily	pending	p2	pending	
hand-sanitizer	免洗洗手液	卫浴用品 / 浴室用品 / 纸品皂类与浴室配件 / 免洗洗手液	Bathroom & Hygiene / Bathroom Supplies / Bathroom Paper, Soap & Accessories / Hand Sanitizer	mvp	daily	pending	p1	pending	
toilet-paper-roll	卷纸	卫浴用品 / 浴室用品 / 纸品皂类与浴室配件 / 卷纸	Bathroom & Hygiene / Bathroom Supplies / Bathroom Paper, Soap & Accessories / Toilet Paper Rolls	mvp	daily	pending	p1	pending	
bath-mat	浴垫	卫浴用品 / 浴室用品 / 纸品皂类与浴室配件 / 浴垫	Bathroom & Hygiene / Bathroom Supplies / Bathroom Paper, Soap & Accessories / Bath Mats	mvp	daily	pending	p1	pending	
shower-cap	浴帽	卫浴用品 / 浴室用品 / 纸品皂类与浴室配件 / 浴帽	Bathroom & Hygiene / Bathroom Supplies / Bathroom Paper, Soap & Accessories / Shower Caps	mvp	daily	pending	p1	pending	
tissue-box	纸巾盒	卫浴用品 / 浴室用品 / 纸品皂类与浴室配件 / 纸巾盒	Bathroom & Hygiene / Bathroom Supplies / Bathroom Paper, Soap & Accessories / Tissue Boxes	mvp	daily	pending	p1	pending	
soap-bar	香皂	卫浴用品 / 浴室用品 / 纸品皂类与浴室配件 / 香皂	Bathroom & Hygiene / Bathroom Supplies / Bathroom Paper, Soap & Accessories / Soap Bars	mvp	daily	pending	p1	pending	
toilet-brush	马桶刷	卫浴用品 / 浴室用品 / 纸品皂类与浴室配件 / 马桶刷	Bathroom & Hygiene / Bathroom Supplies / Bathroom Paper, Soap & Accessories / Toilet Brushes	mvp	daily	pending	p1	pending	
freezer-bag-box	冷冻保鲜袋盒	厨房器具 / 厨房用品 / 厨房耗材 / 冷冻保鲜袋盒	Kitchenware and Tableware / Kitchen Consumables / Kitchen Storage and Consumables / Freezer Bag Boxes	mvp	daily	pending	p2	pending	
water-filter-cartridge	净水滤芯	厨房器具 / 厨房用品 / 厨房耗材 / 净水滤芯	Kitchenware and Tableware / Kitchen Consumables / Kitchen Storage and Consumables / Water Filter Cartridges	mvp	daily	pending	p2	pending	
knife-block	刀架	厨房器具 / 厨房用品 / 厨房耗材 / 刀架	Kitchenware and Tableware / Kitchen Consumables / Kitchen Storage and Consumables / Knife Blocks	mvp	daily	pending	p2	pending	
oil-absorbing-paper-pack	吸油纸包	厨房器具 / 厨房用品 / 厨房耗材 / 吸油纸包	Kitchenware and Tableware / Kitchen Consumables / Kitchen Storage and Consumables / Oil Absorbing Paper Packs	mvp	daily	pending	p2	pending	
coffee-filter-pack	咖啡滤纸包	厨房器具 / 厨房用品 / 厨房耗材 / 咖啡滤纸包	Kitchenware and Tableware / Kitchen Consumables / Kitchen Storage and Consumables / Coffee Filter Packs	mvp	daily	pending	p2	pending	
dish-drying-rack	沥水架	厨房器具 / 厨房用品 / 厨房耗材 / 沥水架	Kitchenware and Tableware / Kitchen Consumables / Kitchen Storage and Consumables / Dish Drying Racks	mvp	daily	pending	p2	pending	
range-hood-filter	油烟机滤网	厨房器具 / 厨房用品 / 厨房耗材 / 油烟机滤网	Kitchenware and Tableware / Kitchen Consumables / Kitchen Storage and Consumables / Range Hood Filters	mvp	daily	pending	p2	pending	
baking-paper-roll	烘焙纸卷	厨房器具 / 厨房用品 / 厨房耗材 / 烘焙纸卷	Kitchenware and Tableware / Kitchen Consumables / Kitchen Storage and Consumables / Baking Paper Rolls	mvp	daily	pending	p2	pending	
chopping-board-stand	砧板架	厨房器具 / 厨房用品 / 厨房耗材 / 砧板架	Kitchenware and Tableware / Kitchen Consumables / Kitchen Storage and Consumables / Chopping Board Stands	mvp	daily	pending	p2	pending	
tea-filter-bag-pack	茶包袋包装	厨房器具 / 厨房用品 / 厨房耗材 / 茶包袋包装	Kitchenware and Tableware / Kitchen Consumables / Kitchen Storage and Consumables / Tea Filter Bag Packs	mvp	daily	pending	p2	pending	
spice-rack	调料架	厨房器具 / 厨房用品 / 厨房耗材 / 调料架	Kitchenware and Tableware / Kitchen Consumables / Kitchen Storage and Consumables / Spice Racks	mvp	daily	pending	p2	pending	
food-storage-bag-box	食品密封袋盒	厨房器具 / 厨房用品 / 厨房耗材 / 食品密封袋盒	Kitchenware and Tableware / Kitchen Consumables / Kitchen Storage and Consumables / Food Storage Bag Boxes	mvp	daily	pending	p2	pending	
sous-vide-machine	低温慢煮机	厨房器具 / 厨房用品 / 备餐与餐具 / 低温慢煮机	Kitchen & Dining / Kitchenware / Food Preparation & Serving / Sous Vide Cookers	common	daily	pending	p2	pending	
saucepan	奶锅	厨房器具 / 厨房用品 / 备餐与餐具 / 奶锅	Kitchen & Dining / Kitchenware / Food Preparation & Serving / Saucepans	mvp	daily	pending	p1	pending	
frying-pan	煎锅	厨房器具 / 厨房用品 / 备餐与餐具 / 煎锅	Kitchen & Dining / Kitchenware / Food Preparation & Serving / Frying Pans	mvp	daily	pending	p1	pending	
drinking-glass	玻璃杯	厨房器具 / 厨房用品 / 备餐与餐具 / 玻璃杯	Kitchen & Dining / Kitchenware / Food Preparation & Serving / Drinking Glasses	mvp	daily	pending	p1	pending	
plate	盘子	厨房器具 / 厨房用品 / 备餐与餐具 / 盘子	Kitchen & Dining / Kitchenware / Food Preparation & Serving / Plates	mvp	daily	pending	p1	pending	
bowl	碗	厨房器具 / 厨房用品 / 备餐与餐具 / 碗	Kitchen & Dining / Kitchenware / Food Preparation & Serving / Bowls	mvp	daily	pending	p1	pending	
cutting-board	菜板	厨房器具 / 厨房用品 / 备餐与餐具 / 菜板	Kitchen & Dining / Kitchenware / Food Preparation & Serving / Cutting Boards	mvp	daily	pending	p1	pending	
mug	马克杯	厨房器具 / 厨房用品 / 备餐与餐具 / 马克杯	Kitchen & Dining / Kitchenware / Food Preparation & Serving / Mugs	mvp	daily	pending	p1	pending	
thermos-bottle	保温杯	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 保温杯	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Vacuum Flasks	mvp	daily	pending	p1	pending	
food-storage-container	保鲜盒	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 保鲜盒	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Food Storage Containers	mvp	daily	pending	p1	pending	
peeler	削皮器	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 削皮器	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Peelers	mvp	daily	pending	p1	pending	
spoon	勺子	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 勺子	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Spoons	mvp	daily	pending	p1	pending	
kitchen-scale	厨房秤	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 厨房秤	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Kitchen Scales	mvp	daily	pending	p1	pending	
fork	叉子	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 叉子	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Forks	mvp	daily	pending	p1	pending	
ladle	汤勺	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 汤勺	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Ladles	mvp	daily	pending	p1	pending	
stock-pot	汤锅	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 汤锅	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Stock Pots	mvp	daily	pending	p1	pending	
colander	沥水篮	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 沥水篮	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Colanders	mvp	daily	pending	p1	pending	
wok	炒锅	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 炒锅	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Woks	mvp	daily	pending	p1	pending	
chopsticks	筷子	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 筷子	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Chopsticks	mvp	daily	pending	p1	pending	
kitchen-knife	菜刀	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 菜刀	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Kitchen Knives	mvp	daily	pending	p1	pending	
steamer-pot	蒸锅	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 蒸锅	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Steamer Pots	mvp	daily	pending	p1	pending	
spatula	锅铲	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 锅铲	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Spatulas	mvp	daily	pending	p1	pending	
rice-spoon	饭勺	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 饭勺	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Rice Spoons	mvp	daily	pending	p1	pending	
lunch-box	饭盒	厨房器具 / 厨房用品 / 锅具刀具与小工具 / 饭盒	Kitchen & Dining / Kitchenware / Cookware & Kitchen Utensils / Lunch Boxes	mvp	daily	pending	p1	pending	
pressure-cooker	压力锅	厨房器具 / 厨房用品 / 锅具餐具 / 压力锅	Kitchenware and Tableware / Cookware Tableware / Cookware and Serving Ware / Pressure Cookers	mvp	appliance	pending	p2	pending	
whisk	打蛋器	厨房器具 / 厨房用品 / 锅具餐具 / 打蛋器	Kitchenware and Tableware / Cookware Tableware / Cookware and Serving Ware / Whisks	mvp	daily	pending	p2	pending	
serving-tray	托盘	厨房器具 / 厨房用品 / 锅具餐具 / 托盘	Kitchenware and Tableware / Cookware Tableware / Cookware and Serving Ware / Serving Trays	mvp	daily	pending	p2	pending	
rolling-pin	擀面杖	厨房器具 / 厨房用品 / 锅具餐具 / 擀面杖	Kitchenware and Tableware / Cookware Tableware / Cookware and Serving Ware / Rolling Pins	mvp	daily	pending	p2	pending	
fruit-plate	果盘	厨房器具 / 厨房用品 / 锅具餐具 / 果盘	Kitchenware and Tableware / Cookware Tableware / Cookware and Serving Ware / Fruit Plates	mvp	daily	pending	p2	pending	
soup-bowl	汤碗	厨房器具 / 厨房用品 / 锅具餐具 / 汤碗	Kitchenware and Tableware / Cookware Tableware / Cookware and Serving Ware / Soup Bowls	mvp	daily	pending	p2	pending	
grill-pan	煎烤盘	厨房器具 / 厨房用品 / 锅具餐具 / 煎烤盘	Kitchenware and Tableware / Cookware Tableware / Cookware and Serving Ware / Grill Pans	mvp	daily	pending	p2	pending	
glass-cup	玻璃杯	厨房器具 / 厨房用品 / 锅具餐具 / 玻璃杯	Kitchenware and Tableware / Cookware Tableware / Cookware and Serving Ware / Glass Cups	mvp	daily	pending	p2	pending	
